"id";"name"
2993;"bookwriter/composer/lyricist (in collabo"
668;"bookwriter/composer/lyricist (in collaboration with)"
36;"bookwriter/lyricist"
2405;"brand manager"
857;"brass"
2176;"brass section"
2287;"broadcast media/tv production"
1788;"business development"
52;"business manager"
953;"by arrangement with_rights"
2397;"cartoon & film consultant"
228;"casting"
1082;"casting (additional casting)"
2359;"casting (additional)"
2802;"casting (binder casting)"
1952;"casting (east coast)"
1171;"casting (los angeles)"
2113;"casting (new york)"
2395;"casting (ny)"
1484;"casting (original)"
2128;"casting (ted lefevre)"
2402;"casting (u.k.)"
2401;"casting (u.s.)"
2022;"casting (uk consultant)"
2035;"casting (uk)"
1792;"casting (us)"
1951;"casting (west coast)"
