id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
7083,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Harlem Music Hall
7087,(address unknown),New York,NY,NULL,NULL,NULL,NULL,[Venue Name unknown]
7088,107 W. 14th St. (Sixth Ave),New York,NY,NULL,NULL,1938,1100,nan
7090,107 W. 14th St. (Sixth Ave),New York,NY,NULL,NULL,1938,1100,Haverly's 14th Street Theatre
7091,107 W. 14th St. (Sixth Ave),New York,NY,NULL,NULL,1938,1100,Civic Repertory Theatre
7092,"216 W. 44th St., Roof",New York,NY,NULL,1940,1945,865,Lew Fields' 44th Street Roof Garden
7094,157 W. 48th St.,New York,NY,NULL,NULL,1955,970,48th Street Theatre
7095,157 W. 48th St.,New York,NY,NULL,NULL,1955,970,Windsor Theatre
7099,(address unknown),New York,NY,NULL,NULL,NULL,NULL,52nd Street Theatre
7100,110 W. 57th St.,New York,NY,NULL,NULL,NULL,NULL,57th Street Playhouse
7101,22 W. 63rd St.,New York,NY,NULL,1941,1957,1025,63rd Street Music Hall
7106,22 W. 63rd St.,New York,NY,NULL,1941,1957,1025,Coburn Theatre
7107,22 W. 63rd St.,New York,NY,NULL,1941,1957,1025,Recital Theatre
7108,22 W. 63rd St.,New York,NY,NULL,1941,1957,1025,Park Lane Theatre
7110,22 W. 63rd St.,New York,NY,NULL,1941,1957,1025,Experimental Theatre
7111,1396 Broadway (West 38th St.),New York,NY,NULL,1930,1930,1500,Abbey's Theatre
7114,"214 W. 42nd St., Roof",New York,NY,NULL,NULL,NULL,680,Aerial Gardens
7116,"214 W. 42nd St., Roof",New York,NY,NULL,NULL,NULL,680,Danse de Follies
7117,"214 W. 42nd St., Roof",New York,NY,NULL,NULL,NULL,680,Dresden Theatre
7118,"214 W. 42nd St., Roof",New York,NY,NULL,NULL,NULL,680,Frolic Theatre
7125,260 West 42nd Street,New York,NY,NULL,1930,1932,2065,American Theatre
7126,260 West 42nd Street,New York,NY,NULL,1930,1932,2065,American Music Hall
7127,(address unknown),New York,NY,NULL,NULL,NULL,NULL,American Laboratory
7130,79-85 Anthony St. (later Worth St.),New York,NY,NULL,NULL,1821,NULL,Anthony Street Theatre
7132,223 W. 42nd St.,New York,NY,NULL,NULL,1996,1200,Apollo Theatre
7133,223 W. 42nd St.,New York,NY,NULL,NULL,1996,1200,New Apollo Theatre
7135,240 W. 47th St.,New York,NY,NULL,NULL,NULL,NULL,Arena Theatre
7136,240 W. 47th St.,New York,NY,NULL,NULL,NULL,NULL,Edison Theatre
7138,57th St.,New York,NY,NULL,1926,1969,1736,Bandbox Theatre
7139,106 Central Park South,New York,NY,NULL,NULL,NULL,NULL,Barbizon-Plaza Theatre
7140,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Bedlow Street Theatre
7142,19 W. 44th St.,New York,NY,NULL,NULL,NULL,NULL,Berkeley Lyceum Theatre
7145,209 W. 45th St.,New York,NY,NULL,NULL,1982,600,Bijou Theatre
7156,46 Bowery,New York,NY,NULL,NULL,1929,NULL,Thalia Theatre
7157,46 Bowery,New York,NY,NULL,NULL,1929,NULL,Fay's Bowery Theatre
7158,138 E. 27th St.,New York,NY,NULL,NULL,NULL,NULL,Bramhall Playhouse
7162,226 W. 42nd St.,New York,NY,NULL,1933,1996,1200,Candler Theatre
7163,226 W. 42nd St.,New York,NY,NULL,1933,1996,1200,Cohan and Harris
7165,W. 57th St. and Seventh Ave.,New York,NY,NULL,NULL,NULL,NULL,Carnegie Hall
7166,W. 57th St.,New York,NY,NULL,NULL,NULL,NULL,Carnegie Lyceum
7167,1404 Broadway (W. 39th),New York,NY,NULL,1930,1930,875,Casino Theatre
7172,1567 Broadway (47th St.),New York,NY,NULL,1934,NULL,1100,Holiday Theatre
7179,"235 W. 46th St., Basement",New York,NY,NULL,NULL,NULL,NULL,Stairway Theatre
7180,"235 W. 46th St., Basement",New York,NY,NULL,NULL,NULL,NULL,Century Theatre
7181,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Chanin Auditorium
7185,Chapel St. (later Beekman St.),New York,NY,NULL,NULL,NULL,NULL,Chapel Street Theatre
7186,38 Commerce St.,New York,NY,NULL,NULL,NULL,NULL,New Playwrights Theatre
7188,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Children's Theatre
7189,1825 Broadway at 60th St.,New York,NY,NULL,1935,1954,NULL,Circle Theatre
7191,131 W. 55th St.,New York,NY,NULL,NULL,NULL,2750,City Center
7192,"Central Park West at 62nd St., Roof",New York,NY,NULL,NULL,1930,500,Century Promenade
7193,"Central Park West at 62nd St., Roof",New York,NY,NULL,NULL,1930,500,Cocoanut Grove Theatre
7194,"Central Park West at 62nd St., Roof",New York,NY,NULL,NULL,1930,500,Century Grove
7196,110 W. 41st St.,New York,NY,NULL,NULL,1942,625,Comedy Theatre
7197,110 W. 41st St.,New York,NY,NULL,NULL,1942,625,Collier's Comedy Theatre
7199,110 W. 41st St.,New York,NY,NULL,NULL,1942,625,Mercury Theatre
7202,152 W. 54th St.,New York,NY,NULL,NULL,1970,1400,Craig Theatre
7203,152 W. 54th St.,New York,NY,NULL,NULL,1970,1400,Adelphi Theatre
7208,152 W. 54th St.,New York,NY,NULL,NULL,1970,1400,George Abbott Theatre
7210,(address unknown),New York,NY,NULL,NULL,NULL,NULL,Crystal Gardens
7211,753 Seventh Ave. (W. 50th St.),New York,NY,NULL,1939,1990,1025,Earl Carroll Theatre
7213,753 Seventh Ave. (W. 50th St.),New York,NY,NULL,1939,1990,1025,Casino Theatre
7216,189 Second Ave at 12th St.,New York,NY,NULL,NULL,NULL,NULL,Eden Theatre
