year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
1997,1997,/wiki/51st_Tony_Awards,True,Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,John Barrymore,https://en.wikipedia.org/wiki/John_Barrymore,Barrymore,https://en.wikipedia.org/wiki/Barrymore_(play)
1997,1997,/wiki/51st_Tony_Awards,False,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,Sir Harcourt Courtly,,London Assurance,https://en.wikipedia.org/wiki/London_Assurance
1998,1998,/wiki/52nd_Tony_Awards,False,Alfred Molina,https://en.wikipedia.org/wiki/Alfred_Molina,Yvan,,Art,https://en.wikipedia.org/wiki/Art_(play)
1998,1998,/wiki/52nd_Tony_Awards,False,John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo,Himself,,Freak,https://en.wikipedia.org/wiki/Freak_(play)
1998,1998,/wiki/52nd_Tony_Awards,False,Richard Briers,https://en.wikipedia.org/wiki/Richard_Briers,Old Man,,The Chairs,https://en.wikipedia.org/wiki/The_Chairs
1998,1998,/wiki/52nd_Tony_Awards,True,Anthony LaPaglia,https://en.wikipedia.org/wiki/Anthony_LaPaglia,Eddie Carbone,,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
1999,1999,/wiki/53rd_Tony_Awards,True,Brian Dennehy,https://en.wikipedia.org/wiki/Brian_Dennehy,Willy Loman,https://en.wikipedia.org/wiki/Willy_Loman,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
1999,1999,/wiki/53rd_Tony_Awards,False,Brían F. O'Byrne,https://en.wikipedia.org/wiki/Br%C3%ADan_F._O%27Byrne,Valene Connor,,The Lonesome West,https://en.wikipedia.org/wiki/The_Lonesome_West
1999,1999,/wiki/53rd_Tony_Awards,False,Corin Redgrave,https://en.wikipedia.org/wiki/Corin_Redgrave,"Bert ""Boss"" Whalen",,Not About Nightingales,https://en.wikipedia.org/wiki/Not_About_Nightingales
1999,1999,/wiki/53rd_Tony_Awards,False,Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,"Theodore ""Hickey"" Hickman",,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,John C. Reilly,https://en.wikipedia.org/wiki/John_C._Reilly,Lee,,True West,https://en.wikipedia.org/wiki/True_West_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Stephen Dillane,https://en.wikipedia.org/wiki/Stephen_Dillane,Henry,,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Gabriel Byrne,https://en.wikipedia.org/wiki/Gabriel_Byrne,James Tyrone Jr.,,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten
