year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,The Me Nobody Knows,https://en.wikipedia.org/wiki/The_Me_Nobody_Knows,"Stephen M. Joseph, Robert H. Livingston & Herb Schapiro",,Gary William Friedman,https://en.wikipedia.org/wiki/Gary_William_Friedman,Will Holt,https://en.wikipedia.org/wiki/Will_Holt
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,The Rothschilds,https://en.wikipedia.org/wiki/The_Rothschilds_(musical),Sherman Yellen,https://en.wikipedia.org/wiki/Sherman_Yellen,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Two Gentlemen of Verona,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical),John Guare&Mel Shapiro,https://en.wikipedia.org/wiki/John_Guare,Galt MacDermot,https://en.wikipedia.org/wiki/Galt_MacDermot,Guare,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Ain't Supposed to Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death,Melvin Van Peebles,https://en.wikipedia.org/wiki/Melvin_Van_Peebles,Melvin Van Peebles,https://en.wikipedia.org/wiki/Melvin_Van_Peebles,Melvin Van Peebles,https://en.wikipedia.org/wiki/Melvin_Van_Peebles
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Follies,https://en.wikipedia.org/wiki/Follies,James Goldman,https://en.wikipedia.org/wiki/James_Goldman,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Grease,https://en.wikipedia.org/wiki/Grease_(musical),Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Sugar,https://en.wikipedia.org/wiki/Sugar_(musical),Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),Bob Fosse&Roger O. Hirson,https://en.wikipedia.org/wiki/Bob_Fosse,Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer),Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,"Don't Bother Me, I Can't Cope","https://en.wikipedia.org/wiki/Don%27t_Bother_Me,_I_Can%27t_Cope",Micki Grant,https://en.wikipedia.org/wiki/Micki_Grant,Micki Grant,https://en.wikipedia.org/wiki/Micki_Grant,Micki Grant,https://en.wikipedia.org/wiki/Micki_Grant
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Raisin,https://en.wikipedia.org/wiki/Raisin_(musical),Robert Nemiroff & Charlotte Zaltzberg,,Judd Woldin,https://en.wikipedia.org/wiki/Judd_Woldin,Robert Brittan,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Seesaw,https://en.wikipedia.org/wiki/Seesaw_(musical),Michael Bennett,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Dorothy Fields,https://en.wikipedia.org/wiki/Dorothy_Fields
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Over Here!,https://en.wikipedia.org/wiki/Over_Here!,Will Holt,https://en.wikipedia.org/wiki/Will_Holt,Sherman Brothers,https://en.wikipedia.org/wiki/Sherman_Brothers,Sherman Brothers,https://en.wikipedia.org/wiki/Sherman_Brothers
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,The Lieutenant,https://en.wikipedia.org/wiki/The_Lieutenant_(musical),"Gene Curty, Nitra Scharfman & Chuck Strand",,"Gene Curty, Nitra Scharfman & Chuck Strand",,"Gene Curty, Nitra Scharfman & Chuck Strand",
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Shenandoah,https://en.wikipedia.org/wiki/Shenandoah_(musical),"James Lee Barrett,Philip Rose& Peter Udell",https://en.wikipedia.org/wiki/James_Lee_Barrett,Gary Geld,,Udell,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Mack & Mabel,https://en.wikipedia.org/wiki/Mack_%26_Mabel,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
