year,season,season_link,winner,designer,designer_link,production,production_link
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Lindy Hemming,https://en.wikipedia.org/wiki/Lindy_Hemming,All's Well That Ends Well,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Ann Hould-WardandPatricia Zipprodt,https://en.wikipedia.org/wiki/Ann_Hould-Ward,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Anthea Sylbert,https://en.wikipedia.org/wiki/Anthea_Sylbert,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Florence Klotz,https://en.wikipedia.org/wiki/Florence_Klotz,Grind,https://en.wikipedia.org/wiki/Grind_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Patricia McGourty,,Big River,https://en.wikipedia.org/wiki/Big_River_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Alexander Reid,https://en.wikipedia.org/w/index.php?title=Alexander_Reid_(designer)&action=edit&redlink=1,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(play)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Alexander Reid,https://en.wikipedia.org/w/index.php?title=Alexander_Reid_(designer)&action=edit&redlink=1,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Beni Montresor,https://en.wikipedia.org/wiki/Beni_Montresor,The Marriage of Figaro,https://en.wikipedia.org/wiki/The_Marriage_of_Figaro_(play)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Willa Kim,https://en.wikipedia.org/wiki/Willa_Kim,Song and Dance,https://en.wikipedia.org/wiki/Song_and_Dance
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,John Napier,https://en.wikipedia.org/wiki/John_Napier_(designer),Starlight Express,https://en.wikipedia.org/wiki/Starlight_Express
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_liaisons_dangereuses_(play)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Ann Curtis,https://en.wikipedia.org/wiki/Ann_Curtis_(costume_designer),Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Andreane Neofitou,,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Tony Walton,https://en.wikipedia.org/wiki/Tony_Walton,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Maria Björnson,https://en.wikipedia.org/wiki/Maria_Bj%C3%B6rnson,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Ann Hould-Ward,https://en.wikipedia.org/wiki/Ann_Hould-Ward,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Eiko Ishioka,https://en.wikipedia.org/wiki/Eiko_Ishioka,M. Butterfly,https://en.wikipedia.org/wiki/M._Butterfly
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Willa Kim,https://en.wikipedia.org/wiki/Willa_Kim,Legs Diamond,https://en.wikipedia.org/wiki/Legs_Diamond_(musical)
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Héctor Orezzoli and Claudio Segovia,,Black and Blue,https://en.wikipedia.org/wiki/Black_and_Blue_(musical)
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Our Town,https://en.wikipedia.org/wiki/Our_Town
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Erin Quigley,,The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(play)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Florence Klotz,https://en.wikipedia.org/wiki/Florence_Klotz,City of Angels,https://en.wikipedia.org/wiki/City_of_Angels_(musical)
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Judy Dearing,https://en.wikipedia.org/wiki/Judy_Dearing,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Shōgun: The Musical,https://en.wikipedia.org/wiki/Sh%C5%8Dgun:_The_Musical
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Willa Kim,https://en.wikipedia.org/wiki/Willa_Kim,The Will Rogers Follies,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,The Secret Garden,https://en.wikipedia.org/wiki/The_Secret_Garden_(musical)
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Joe Vaněk,https://en.wikipedia.org/wiki/Joe_Van%C4%9Bk,Dancing at Lughnasa,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Toni-Leslie James,https://en.wikipedia.org/wiki/Toni-Leslie_James,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Two Shakespearean Actors,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Crazy for You,https://en.wikipedia.org/wiki/Crazy_for_You_(musical)
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Florence Klotz,https://en.wikipedia.org/wiki/Florence_Klotz,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical)
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,The Sisters Rosensweig,https://en.wikipedia.org/wiki/The_Sisters_Rosensweig
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Erin Quigley,,The Song of Jacob Zulu,https://en.wikipedia.org/wiki/The_Song_of_Jacob_Zulu
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,David C. Woolard,,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Ann Hould-Ward,https://en.wikipedia.org/wiki/Ann_Hould-Ward,Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,David Charles andJane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Passion,https://en.wikipedia.org/wiki/Passion_(musical)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Yan Tax,,Cyrano: The Musical,https://en.wikipedia.org/wiki/Cyrano:_The_Musical
