year,season,season_link,winner,actress,actress_link,musical,musical_link,character,character_link
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Liliane Montevecchi,https://en.wikipedia.org/wiki/Liliane_Montevecchi,Nine,https://en.wikipedia.org/wiki/Nine_(musical),Liliane La Fleur,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Karen Akers,https://en.wikipedia.org/wiki/Karen_Akers,Nine,,Luisa Contini,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Laurie Beechman,https://en.wikipedia.org/wiki/Laurie_Beechman,Joseph and the Amazing Technicolor Dreamcoat,https://en.wikipedia.org/wiki/Joseph_and_the_Amazing_Technicolor_Dreamcoat,The Narrator,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Anita Morris,https://en.wikipedia.org/wiki/Anita_Morris,Nine,,Carla Albanese,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Betty Buckley,https://en.wikipedia.org/wiki/Betty_Buckley,Cats,https://en.wikipedia.org/wiki/Cats_(musical),Grizabella,https://en.wikipedia.org/wiki/Grizabella
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Christine Andreas,https://en.wikipedia.org/wiki/Christine_Andreas,On Your Toes,https://en.wikipedia.org/wiki/On_Your_Toes,Frankie Frayne,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Karla Burns,https://en.wikipedia.org/wiki/Karla_Burns,Show Boat,https://en.wikipedia.org/wiki/Show_Boat,Queenie,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Denny Dillon,https://en.wikipedia.org/wiki/Denny_Dillon,My One and Only,https://en.wikipedia.org/wiki/My_One_and_Only_(musical),Mickey,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Lila Kedrova,https://en.wikipedia.org/wiki/Lila_Kedrova,Zorba,https://en.wikipedia.org/wiki/Zorba_(musical),Madame Hortense,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Martine Allard,,The Tap Dance Kid,https://en.wikipedia.org/wiki/The_Tap_Dance_Kid,Emma,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Liz Callaway,https://en.wikipedia.org/wiki/Liz_Callaway,Baby,https://en.wikipedia.org/wiki/Baby_(musical),Lizzie Fields,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Dana Ivey,https://en.wikipedia.org/wiki/Dana_Ivey,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,Yvonne / Naomi Eisen,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Mary Beth Peil,https://en.wikipedia.org/wiki/Mary_Beth_Peil,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,Anna Leonowens,https://en.wikipedia.org/wiki/Anna_Leonowens
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Lenka Peterson,https://en.wikipedia.org/wiki/Lenka_Peterson,Quilters,,Sarah,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Leilani Jones,https://en.wikipedia.org/wiki/Leilani_Jones_(actress),Grind,https://en.wikipedia.org/wiki/Grind_(musical),Satin,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Evalyn Baron,,Quilters,https://en.wikipedia.org/wiki/Quilters_(musical),Daughter of the Frontier,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Bebe Neuwirth,https://en.wikipedia.org/wiki/Bebe_Neuwirth,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity,Nickie,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Patti Cohenour,https://en.wikipedia.org/wiki/Patti_Cohenour,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood,Rosa Bud / Deirdre Peregrine,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Jana Schneider,https://en.wikipedia.org/wiki/Jana_Schneider,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood,Helena Landless / Janet Conover,
