year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1974,1974,/wiki/28th_Tony_Awards,True,Ed Flanders,https://en.wikipedia.org/wiki/Ed_Flanders,Phil Hogan,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,[32],https://en.wikipedia.org#cite_note-1974_Awards-34,
1974,1974,/wiki/28th_Tony_Awards,False,René Auberjonois,https://en.wikipedia.org/wiki/Ren%C3%A9_Auberjonois,Performer,The Good Doctor,https://en.wikipedia.org/wiki/The_Good_Doctor_(play),[32],https://en.wikipedia.org#cite_note-1974_Awards-34,
1974,1974,/wiki/28th_Tony_Awards,False,Douglas Turner Ward,https://en.wikipedia.org/wiki/Douglas_Turner_Ward,Johnny Williams,The River Niger,https://en.wikipedia.org/wiki/The_River_Niger,[32],https://en.wikipedia.org#cite_note-1974_Awards-34,
1974,1974,/wiki/28th_Tony_Awards,False,Dick Anthony Williams,https://en.wikipedia.org/wiki/Dick_Anthony_Williams,Rico,What the Wine-Sellers Buy,,[32],https://en.wikipedia.org#cite_note-1974_Awards-34,
1975,1975,/wiki/29th_Tony_Awards,False,Dick Anthony Williams,https://en.wikipedia.org/wiki/Dick_Anthony_Williams,Alexander,Black Picture Show,,[33],https://en.wikipedia.org#cite_note-1975_Awards-35,
1975,1975,/wiki/29th_Tony_Awards,False,George Rose,https://en.wikipedia.org/wiki/George_Rose_(actor),Henry,My Fat Friend,https://en.wikipedia.org/wiki/My_Fat_Friend,[33],https://en.wikipedia.org#cite_note-1975_Awards-35,
1975,1975,/wiki/29th_Tony_Awards,False,Philip Locke,https://en.wikipedia.org/wiki/Philip_Locke,Professor Moriarty,Sherlock Holmes,https://en.wikipedia.org/wiki/Sherlock_Holmes_(play),[33],https://en.wikipedia.org#cite_note-1975_Awards-35,https://en.wikipedia.org/wiki/Professor_Moriarty
1975,1975,/wiki/29th_Tony_Awards,False,Larry Blyden,https://en.wikipedia.org/wiki/Larry_Blyden,Sidney,Absurd Person Singular,https://en.wikipedia.org/wiki/Absurd_Person_Singular,[33],https://en.wikipedia.org#cite_note-1975_Awards-35,
1975,1975,/wiki/29th_Tony_Awards,True,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Leslie,Seascape,https://en.wikipedia.org/wiki/Seascape_(play),[33],https://en.wikipedia.org#cite_note-1975_Awards-35,
1975,1975,/wiki/29th_Tony_Awards,False,Leonard Frey,https://en.wikipedia.org/wiki/Leonard_Frey,Barnet,The National Health,https://en.wikipedia.org/wiki/The_National_Health_(play),[33],https://en.wikipedia.org#cite_note-1975_Awards-35,
