year,season,season_link,winner,choreographer,choreographer_link,production,production_link
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,Steel Pier,https://en.wikipedia.org/wiki/Steel_Pier
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Joey McKneely,,The Life,https://en.wikipedia.org/wiki/The_Life_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Ann Reinking,https://en.wikipedia.org/wiki/Ann_Reinking,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,Dream,https://en.wikipedia.org/wiki/Dream_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Garth Fagan,https://en.wikipedia.org/wiki/Garth_Fagan,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Forever Tango Dancers,,Forever Tango,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Rob Marshall,https://en.wikipedia.org/wiki/Rob_Marshall,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Matthew Bourne,https://en.wikipedia.org/wiki/Matthew_Bourne,Swan Lake,https://en.wikipedia.org/wiki/Swan_Lake_(Bourne)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Patricia Birch,https://en.wikipedia.org/wiki/Patricia_Birch,Parade,https://en.wikipedia.org/wiki/Parade_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Rob Marshall,https://en.wikipedia.org/wiki/Rob_Marshall,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,A. C. Ciulla,,Footloose,https://en.wikipedia.org/wiki/Footloose_(musical)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,Contact,https://en.wikipedia.org/wiki/Contact_(musical)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Kathleen Marshall,https://en.wikipedia.org/wiki/Kathleen_Marshall,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Lynne Taylor-Corbett,https://en.wikipedia.org/wiki/Lynne_Taylor-Corbett,Swing!,https://en.wikipedia.org/wiki/Swing!
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,"Jim Moore, George Pinney and Jonathan Vanderkolff",https://en.wikipedia.org/wiki/Jim_Moore_(dancer),Blast!,https://en.wikipedia.org/wiki/Blast!_(musical)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Randy Skinner,https://en.wikipedia.org/wiki/Randy_Skinner,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Jerry Mitchell,https://en.wikipedia.org/wiki/Jerry_Mitchell,The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty_(musical)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical)
