year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,David Pittu,https://en.wikipedia.org/wiki/David_Pittu,LoveMusik,https://en.wikipedia.org/wiki/LoveMusik,Bertolt Brecht,https://en.wikipedia.org/wiki/Bertolt_Brecht
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Boyd Gaines,https://en.wikipedia.org/wiki/Boyd_Gaines,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Herbie,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Daniel Breaker,https://en.wikipedia.org/wiki/Daniel_Breaker,Passing Strange,https://en.wikipedia.org/wiki/Passing_Strange_(musical),Youth,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Danny Burstein,https://en.wikipedia.org/wiki/Danny_Burstein,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Luther Billis,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Robin de Jesús,https://en.wikipedia.org/wiki/Robin_de_Jes%C3%BAs,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights,Sonny,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Christopher Fitzgerald,https://en.wikipedia.org/wiki/Christopher_Fitzgerald_(actor),Young Frankenstein,https://en.wikipedia.org/wiki/Young_Frankenstein_(musical),Igor,https://en.wikipedia.org/wiki/Igor_(Young_Frankenstein)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Christopher Sieber,https://en.wikipedia.org/wiki/Christopher_Sieber,Shrek the Musical,https://en.wikipedia.org/wiki/Shrek_the_Musical,Lord Farquaad,https://en.wikipedia.org/wiki/Lord_Farquaad
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Marc Kudisch,https://en.wikipedia.org/wiki/Marc_Kudisch,9 to 5,https://en.wikipedia.org/wiki/9_to_5_(musical),Franklin Hart Jr.,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Will Swenson,https://en.wikipedia.org/wiki/Will_Swenson_(actor),Hair,https://en.wikipedia.org/wiki/Hair_(musical),George Berger,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Gregory Jbara,https://en.wikipedia.org/wiki/Gregory_Jbara,Billy Elliot the Musical,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical,Dad,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,David Bologna,https://en.wikipedia.org/wiki/David_Bologna,Billy Elliot the Musical,,Michael Caffrey,
